episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S01E07,18,1,"00:01:24,745","00:01:27,786",LESTAT DE LIONCOURT,Can an immortal meet mortality?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.67; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | TOM ANDERSON
S01E07,19,1,"00:01:31,682","00:01:35,533",LOUIS DE POINTE DU LAC,"Technically, yes.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.28; no episode audio used,English,,DANIEL MOLLOY | TOM ANDERSON | LESTAT DE LIONCOURT
S01E07,20,1,"00:01:35,538","00:01:37,231",LOUIS DE POINTE DU LAC,How?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.08; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,21,1,"00:01:39,629","00:01:42,049",LESTAT DE LIONCOURT,Several ways.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.48; no episode audio used,English,,DANIEL MOLLOY | TOM ANDERSON | CLAUDIA
S01E07,22,1,"00:01:42,054","00:01:44,399",LESTAT DE LIONCOURT,Starvation.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,23,1,"00:01:44,404","00:01:47,315",LOUIS DE POINTE DU LAC,Deny the body the blood.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.04; no episode audio used,English,,TOM ANDERSON | LESTAT DE LIONCOURT | DANIEL MOLLOY
S01E07,24,1,"00:01:47,320","00:01:51,493",LOUIS DE POINTE DU LAC,"Conversely, drink the blood of the dead.",uncertain,best contextual candidate from text-only sources,recognition_margin=1.25; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,25,1,"00:01:51,498","00:01:55,703",LOUIS DE POINTE DU LAC,He told me as much my first night reborn.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,26,1,"00:01:55,708","00:01:58,750",LOUIS DE POINTE DU LAC,"Then, there's fire.",uncertain,best contextual candidate from text-only sources,recognition_margin=1.43; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,27,1,"00:01:58,755","00:02:02,960",LOUIS DE POINTE DU LAC,Consume the body with fire and it can house no spirit.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.56; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | DANIEL MOLLOY
S01E07,28,1,"00:02:02,965","00:02:05,180",LESTAT DE LIONCOURT,Decapitation.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,29,1,"00:02:05,599","00:02:08,205",LOUIS DE POINTE DU LAC,He confided that to me one blood-drunken night,uncertain,best contextual candidate from text-only sources,recognition_margin=0.39; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,30,1,"00:02:08,210","00:02:11,817",LOUIS DE POINTE DU LAC,in Baton Rouge.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.39; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,31,1,"00:02:11,822","00:02:16,027",LESTAT DE LIONCOURT,"Theoretically, it can be done.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.21; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | TOM ANDERSON
S01E07,32,1,"00:02:16,032","00:02:20,037",LOUIS DE POINTE DU LAC,But could it be done by us to him?,uncertain,best contextual candidate from text-only sources,recognition_margin=2.10; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,33,1,"00:02:20,744","00:02:23,525",LOUIS DE POINTE DU LAC,Could the children murder the father?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.46; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,34,1,"00:02:25,706","00:02:29,748",DANIEL MOLLOY,"He was stronger than us, quicker than us,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | LOUIS DE POINTE DU LAC
S01E07,35,1,"00:02:29,753","00:02:31,707",DANIEL MOLLOY,in possession of ancient powers,uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | LOUIS DE POINTE DU LAC
S01E07,36,1,"00:02:31,712","00:02:33,622",DANIEL MOLLOY,that had been passed on to his progeny,uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | LOUIS DE POINTE DU LAC
S01E07,37,1,"00:02:33,627","00:02:36,668",DANIEL MOLLOY,only in a diminished form.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | LOUIS DE POINTE DU LAC
S01E07,38,1,"00:02:36,673","00:02:41,378",LESTAT DE LIONCOURT,"Add to the toxic air a new ever-present paranoia,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.04; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | TOM ANDERSON
S01E07,39,1,"00:02:42,244","00:02:45,851",LOUIS DE POINTE DU LAC,"and now, you are with us.",uncertain,best contextual candidate from text-only sources,recognition_margin=1.38; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,40,1,"00:02:45,856","00:02:47,562",LOUIS DE POINTE DU LAC,We were compelled to sleep,uncertain,best contextual candidate from text-only sources,recognition_margin=0.29; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,41,1,"00:02:47,567","00:02:51,074",LOUIS DE POINTE DU LAC,in the same chamber together again.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.29; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,42,1,"00:02:51,079","00:02:52,902",LOUIS DE POINTE DU LAC,He would have it no other way.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.24; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,43,1,"00:02:54,952","00:02:58,168",DANIEL MOLLOY,"We would spend our hours enduring,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.01; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,44,1,"00:02:58,173","00:03:01,258",DANIEL MOLLOY,"with little pretense of getting along,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.01; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,45,1,"00:03:01,263","00:03:04,044",DANIEL MOLLOY,locked together in hatred.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.01; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,46,1,"00:03:04,049","00:03:07,612",LOUIS DE POINTE DU LAC,He would have it no other way.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.24; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,47,1,"00:03:07,617","00:03:11,486",LOUIS DE POINTE DU LAC,Our only opportunity to plot would be telepathically.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.26; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,48,1,"00:03:11,491","00:03:14,663",LOUIS DE POINTE DU LAC,"And Claudia, for reasons she would not yet divulge,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.53; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,49,1,"00:03:14,668","00:03:16,795",LOUIS DE POINTE DU LAC,used our advantage sparingly.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.53; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,50,1,"00:03:16,800","00:03:18,754",LESTAT DE LIONCOURT,Knowledge is the ocean's edge.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.39; no episode audio used,English,,DANIEL MOLLOY | TOM ANDERSON | LOUIS DE POINTE DU LAC
S01E07,51,1,"00:03:18,759","00:03:21,683",LOUIS DE POINTE DU LAC,"I mean, to think it could somehow be gathered",uncertain,best contextual candidate from text-only sources,recognition_margin=0.49; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,52,1,"00:03:21,688","00:03:23,498",LOUIS DE POINTE DU LAC,by a mere 20 volumes.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.49; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,53,1,"00:03:24,739","00:03:28,894",LOUIS DE POINTE DU LAC,"But make no mistake, Claudia was plotting,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.67; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,54,1,"00:03:28,899","00:03:31,114",LOUIS DE POINTE DU LAC,quiet in her deer blind.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.67; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,55,1,"00:03:33,208","00:03:35,684",DANIEL MOLLOY,A relic before it's even gone to the print shop.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.42; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,56,1,"00:03:41,086","00:03:43,170",LESTAT DE LIONCOURT,Aww...,uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,57,1,"00:03:43,175","00:03:46,260",LOUIS DE POINTE DU LAC,There's three of us you must provide for tonight.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.62; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,58,1,"00:03:51,139","00:03:54,006",LOUIS DE POINTE DU LAC,I've had my fill.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.28; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,59,1,"00:03:55,709","00:03:59,308",LOUIS DE POINTE DU LAC,Louis's never honored the blood as he should.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.37; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,60,1,"00:03:59,313","00:04:02,833",LOUIS DE POINTE DU LAC,"Blame the teacher, not the student.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.15; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,61,1,"00:04:03,238","00:04:05,496",LOUIS DE POINTE DU LAC,Lestat de Lioncourt.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.33; no episode audio used,English,,TOM ANDERSON | LESTAT DE LIONCOURT | DANIEL MOLLOY
S01E07,62,1,"00:04:08,287","00:04:12,492",LESTAT DE LIONCOURT,179 years in the Savage Garden.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.47; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,63,1,"00:04:13,719","00:04:20,424",LOUIS DE POINTE DU LAC,"148 years the blood-drinker, the bringer of death...",uncertain,best contextual candidate from text-only sources,recognition_margin=0.55; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | DANIEL MOLLOY
S01E07,64,1,"00:04:23,432","00:04:25,782",LOUIS DE POINTE DU LAC,... the deer come up the trail.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.98; no episode audio used,English,,DANIEL MOLLOY | TOM ANDERSON | LESTAT DE LIONCOURT
S01E07,65,1,"00:04:27,784","00:04:29,482",LOUIS DE POINTE DU LAC,Another approaches.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.39; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,66,1,"00:04:46,673","00:04:48,322",DANIEL MOLLOY,It's you.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.45; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,67,1,"00:04:48,327","00:04:49,584",LESTAT DE LIONCOURT,Oh!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,68,1,"00:04:49,589","00:04:50,976",LOUIS DE POINTE DU LAC,Are you the new postman?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.29; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,69,1,"00:04:50,981","00:04:52,587",DANIEL MOLLOY,I'm sorry. I'm sorry!,uncertain,best contextual candidate from text-only sources,recognition_margin=1.32; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,70,1,"00:04:54,246","00:04:56,199",LOUIS DE POINTE DU LAC,Come to deliver letters of salvation?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.45; no episode audio used,English,,TOM ANDERSON | DANIEL MOLLOY | LESTAT DE LIONCOURT
S01E07,71,1,"00:04:56,204","00:04:58,462",DANIEL MOLLOY,I did... I did not mean to disturb.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.74; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,72,1,"00:04:58,467","00:05:01,509",TOM ANDERSON,"This is a private house, and we find it disturbing",uncertain,best contextual candidate from text-only sources,recognition_margin=0.26; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | DANIEL MOLLOY
S01E07,73,1,"00:05:01,514","00:05:03,902",TOM ANDERSON,when things are abandoned on our doorstep.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.26; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | DANIEL MOLLOY
S01E07,74,1,"00:05:03,907","00:05:05,426",LESTAT DE LIONCOURT,You misunderstand.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,75,1,"00:05:05,431","00:05:09,125",LOUIS DE POINTE DU LAC,I-I'm an admirer. I-I've come seeking help.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.16; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,76,1,"00:05:09,130","00:05:10,822",LOUIS DE POINTE DU LAC,Hmm.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.35; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,77,1,"00:05:10,827","00:05:13,521",LESTAT DE LIONCOURT,"Well, you came to the wrong house.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.21; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,78,1,"00:05:13,526","00:05:16,001",LOUIS DE POINTE DU LAC,They say that Satan lives in this house.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.23; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | DANIEL MOLLOY
S01E07,79,1,"00:05:16,006","00:05:17,699",LOUIS DE POINTE DU LAC,But I say it different.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.58; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | DANIEL MOLLOY
S01E07,80,1,"00:05:17,704","00:05:22,009",LESTAT DE LIONCOURT,I say angels... angels live at 1132.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.23; no episode audio used,English,,LOUIS DE POINTE DU LAC | TOM ANDERSON | DANIEL MOLLOY
S01E07,81,1,"00:05:23,318","00:05:25,359",LOUIS DE POINTE DU LAC,Does anyone know you came here?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.25; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,82,1,"00:05:25,364","00:05:28,013",DANIEL MOLLOY,"No. No one, I swear.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.22; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,83,1,"00:05:28,018","00:05:30,799",LOUIS DE POINTE DU LAC,"I-I live alone, over on Ursuline.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.32; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,84,1,"00:05:30,804","00:05:32,192",DANIEL MOLLOY,I'm your neighbor.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.43; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,85,1,"00:05:32,197","00:05:34,150",LESTAT DE LIONCOURT,"Well, send Saint Peter our regards.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.28; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,86,1,"00:05:50,215","00:05:51,920",LOUIS DE POINTE DU LAC,"""Dear sirs and madam...""",uncertain,best contextual candidate from text-only sources,recognition_margin=0.08; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,87,1,"00:05:51,925","00:05:53,474",LOUIS DE POINTE DU LAC,Cancer of the blood.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.40; no episode audio used,English,,LESTAT DE LIONCOURT | TOM ANDERSON | DANIEL MOLLOY
S01E07,88,1,"00:05:53,479","00:05:56,346",LESTAT DE LIONCOURT,"""What is your secret? Can it be shared?",uncertain,best contextual candidate from text-only sources,recognition_margin=0.21; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | TOM ANDERSON
S01E07,89,1,"00:05:56,351","00:05:58,753",DANIEL MOLLOY,I have the means to pay you. I'm dyin'.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.25; no episode audio used,English,,LOUIS DE POINTE DU LAC | TOM ANDERSON | LESTAT DE LIONCOURT
S01E07,90,1,"00:05:58,758","00:06:00,611",TOM ANDERSON,"The medications aren't taking and my...""",uncertain,best contextual candidate from text-only sources,recognition_margin=0.08; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | LESTAT DE LIONCOURT
S01E07,91,1,"00:06:00,616","00:06:03,484",LOUIS DE POINTE DU LAC,Enough!,uncertain,best contextual candidate from text-only sources,recognition_margin=1.74; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,92,1,"00:06:03,489","00:06:05,964",LOUIS DE POINTE DU LAC,Two in one night.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.58; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,93,1,"00:06:05,969","00:06:11,374",TOM ANDERSON,"Dolls, Bibles, letters become torches and pitchforks.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.17; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC
S01E07,94,1,"00:06:13,442","00:06:15,757",LOUIS DE POINTE DU LAC,We have to leave this place.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.28; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,95,1,"00:06:15,762","00:06:18,150",LOUIS DE POINTE DU LAC,We have to leave New Orleans.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.17; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,96,1,"00:06:18,155","00:06:20,718",LOUIS DE POINTE DU LAC,Clean up the mess and come to coffin.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.54; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,97,1,"00:06:20,723","00:06:22,720",LOUIS DE POINTE DU LAC,We have plans to make.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.64; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,98,1,"00:06:22,725","00:06:24,940",LOUIS DE POINTE DU LAC,"There were plans to make,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.43; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,99,1,"00:06:24,945","00:06:27,116",LOUIS DE POINTE DU LAC,but the architect of those plans was...,uncertain,best contextual candidate from text-only sources,recognition_margin=0.43; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,100,1,"00:06:27,121","00:06:28,813",DANIEL MOLLOY,Claudia. Right.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,101,1,"00:06:28,818","00:06:32,344",LOUIS DE POINTE DU LAC,"Cold, calculating, on mission.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.07; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,102,1,"00:06:39,829","00:06:41,078",LESTAT DE LIONCOURT,I-I interrupted.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,103,1,"00:06:41,083","00:06:43,219",DANIEL MOLLOY,Uh... S-Sorry.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.94; no episode audio used,English,,LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,104,1,"00:06:43,224","00:06:44,829",LOUIS DE POINTE DU LAC,I-I got caught up in it.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.77; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,105,1,"00:06:44,834","00:06:46,401",LOUIS DE POINTE DU LAC,You were saying?,uncertain,best contextual candidate from text-only sources,recognition_margin=1.05; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,106,1,"00:06:51,493","00:06:53,882",LOUIS DE POINTE DU LAC,"You already have your plan, don't you?",uncertain,best contextual candidate from text-only sources,recognition_margin=0.03; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
